,start,end,duration
4964,1238164796,1238167552,2756
4966,1238167552,1238170549,2997
4961,1238170954,1238171648,694
4962,1238171648,1238172929,1281
4965,1238172987,1238175744,2757
4967,1238175744,1238179840,4096
4968,1238179840,1238183936,4096
4969,1238183936,1238188032,4096
4970,1238188032,1238192128,4096
4971,1238192128,1238196224,4096
4960,1238196224,1238196793,569
4963,1238198080,1238200320,2240
1075,1238200320,1238204416,4096
1076,1238204416,1238208512,4096
1077,1238208512,1238212608,4096
1072,1238212608,1238215142,2534
1069,1238227174,1238228992,1818
1074,1238228992,1238232306,3314
1067,1238235751,1238237184,1433
1071,1238237184,1238239667,2483
1066,1238245131,1238245376,245
1078,1238245376,1238249472,4096
1073,1238249472,1238252455,2983
1070,1238290519,1238292971,2452
1068,1238292998,1238294528,1530
1079,1238294528,1238298624,4096
1080,1238298624,1238302720,4096
1364,1238302720,1238306816,4096
1360,1238306816,1238308337,1521
1356,1238318337,1238319104,767
1365,1238319104,1238323200,4096
1366,1238323200,1238327296,4096
1367,1238327296,1238331392,4096
1368,1238331392,1238335488,4096
1369,1238335488,1238339584,4096
1370,1238339584,1238343680,4096
1357,1238343680,1238344470,790
1358,1238350866,1238351872,1006
1371,1238351872,1238355968,4096
1359,1238355968,1238357139,1171
1362,1238368387,1238372352,3965
1361,1238372352,1238374369,2017
1355,1238383560,1238383899,339
1363,1238384700,1238388736,4036
1372,1238388736,1238392832,4096
1373,1238392832,1238396928,4096
1374,1238396928,1238401024,4096
2114,1238401024,1238405120,4096
2115,1238405120,1238409216,4096
2112,1238409216,1238412533,3317
2108,1238412673,1238413312,639
2116,1238413312,1238417408,4096
2117,1238417408,1238421504,4096
2118,1238421504,1238425600,4096
2119,1238425600,1238429696,4096
2120,1238429696,1238433792,4096
2121,1238433792,1238437888,4096
2111,1238437888,1238440687,2799
2113,1238450550,1238454272,3722
2122,1238454272,1238458368,4096
2123,1238458368,1238462464,4096
2124,1238462464,1238466560,4096
2125,1238466560,1238470656,4096
2126,1238470656,1238474752,4096
2127,1238474752,1238478848,4096
2109,1238478848,1238479684,836
2110,1238480945,1238482944,1999
2128,1238482944,1238487040,4096
2129,1238487040,1238491136,4096
2130,1238491136,1238495232,4096
2131,1238495232,1238499328,4096
2132,1238499328,1238503424,4096
2433,1238503424,1238507520,4096
2434,1238507520,1238511616,4096
2435,1238511616,1238515712,4096
2436,1238515712,1238519808,4096
2425,1238519808,1238519915,107
2431,1238528523,1238532096,3573
2430,1238532096,1238535532,3436
2427,1238538791,1238538970,179
2426,1238543229,1238543356,127
2428,1238546544,1238548480,1936
2437,1238548480,1238552576,4096
2429,1238552576,1238555462,2886
2432,1238561172,1238564864,3692
2438,1238564864,1238568960,4096
2439,1238568960,1238573056,4096
2440,1238573056,1238577152,4096
2441,1238577152,1238581248,4096
2442,1238581248,1238585344,4096
2443,1238585344,1238589440,4096
2444,1238589440,1238593536,4096
2445,1238593536,1238597632,4096
2446,1238597632,1238601728,4096
3601,1238601728,1238605824,4096
3602,1238605824,1238609920,4096
3603,1238609920,1238614016,4096
3604,1238614016,1238618112,4096
3597,1238618112,1238619975,1863
3593,1238633668,1238634496,828
3595,1238634496,1238636182,1686
3598,1238636322,1238638592,2270
3605,1238638592,1238642688,4096
3606,1238642688,1238646784,4096
3607,1238646784,1238650880,4096
3608,1238650880,1238654976,4096
3609,1238654976,1238659072,4096
3610,1238659072,1238663168,4096
3611,1238663168,1238667264,4096
3612,1238667264,1238671360,4096
3594,1238671360,1238672700,1340
3599,1238672772,1238675456,2684
3613,1238675456,1238679552,4096
3614,1238679552,1238683648,4096
3600,1238683648,1238687597,3949
3592,1238691231,1238691840,609
3615,1238691840,1238695936,4096
3596,1238695936,1238697794,1858
3426,1238700880,1238704128,3248
3429,1238704128,1238708224,4096
3430,1238708224,1238712320,4096
3431,1238712320,1238716416,4096
3432,1238716416,1238720512,4096
3428,1238720512,1238724601,4089
3423,1238725606,1238728704,3098
3433,1238728704,1238732800,4096
3434,1238732800,1238736896,4096
3435,1238736896,1238740992,4096
3436,1238740992,1238745088,4096
3437,1238745088,1238749184,4096
3438,1238749184,1238753280,4096
3439,1238753280,1238757376,4096
3418,1238757376,1238758204,828
3424,1238758276,1238761472,3196
3440,1238761472,1238765568,4096
3441,1238765568,1238769664,4096
3427,1238769664,1238773286,3622
3417,1238773470,1238773760,290
3422,1238773760,1238775952,2192
3420,1238775984,1238777856,1872
3442,1238777856,1238781952,4096
3425,1238781952,1238785197,3245
3419,1238790677,1238791932,1255
3421,1238792260,1238794240,1980
3443,1238794240,1238798336,4096
3444,1238798336,1238802432,4096
960,1238802432,1238806528,4096
961,1238806528,1238810624,4096
962,1238810624,1238814720,4096
963,1238814720,1238818816,4096
955,1238818816,1238819101,285
959,1238819843,1238822912,3069
964,1238822912,1238827008,4096
965,1238827008,1238831104,4096
958,1238831104,1238833576,2472
956,1238834630,1238835200,570
966,1238835200,1238839296,4096
967,1238839296,1238843392,4096
968,1238843392,1238847488,4096
969,1238847488,1238851584,4096
970,1238851584,1238855680,4096
957,1238855680,1238856499,819
5608,1238908060,1238908158,98
5614,1238908201,1238908928,727
5620,1238908928,1238910359,1431
5622,1238918962,1238921216,2254
5628,1238921216,1238925312,4096
5629,1238925312,1238929408,4096
5615,1238929408,1238930392,984
5626,1238938360,1238941696,3336
5611,1238941696,1238942103,407
5625,1238955200,1238958080,2880
5617,1238958080,1238959424,1344
5627,1238966517,1238970368,3851
5616,1238970368,1238971467,1099
5619,1238973057,1238974464,1407
5630,1238974464,1238978560,4096
5613,1238978560,1238979204,644
5621,1238981086,1238982656,1570
5631,1238982656,1238986752,4096
5612,1238986752,1238987166,414
5610,1238990514,1238990848,334
5624,1238990848,1238993507,2659
5618,1238993549,1238994944,1395
5609,1238994944,1238995065,121
5623,1238996638,1238999040,2402
5632,1238999040,1239003136,4096
1626,1239003136,1239007189,4053
1621,1239009856,1239010368,512
1623,1239010425,1239011328,903
1627,1239011328,1239015424,4096
1628,1239015424,1239019520,4096
1629,1239019520,1239023616,4096
1630,1239023616,1239027712,4096
1631,1239027712,1239031808,4096
1632,1239031808,1239035904,4096
1633,1239035904,1239040000,4096
1634,1239040000,1239044096,4096
1620,1239044096,1239044583,487
1622,1239059786,1239060480,694
1635,1239060480,1239064576,4096
1636,1239064576,1239068672,4096
1637,1239068672,1239072768,4096
1638,1239072768,1239076864,4096
1639,1239076864,1239080960,4096
1625,1239080960,1239083006,2046
1624,1239087140,1239089152,2012
1640,1239089152,1239093248,4096
1641,1239093248,1239097344,4096
1642,1239097344,1239101440,4096
5371,1239101440,1239103228,1788
5372,1239103364,1239105536,2172
5367,1239105536,1239106302,766
5374,1239127044,1239130112,3068
5376,1239130112,1239134208,4096
5377,1239134208,1239138304,4096
5373,1239138304,1239140924,2620
5369,1239149500,1239150592,1092
5375,1239150592,1239153689,3097
5368,1239153848,1239154688,840
5378,1239154688,1239158784,4096
5379,1239158784,1239162880,4096
5380,1239162880,1239166976,4096
5381,1239166976,1239171072,4096
5382,1239171072,1239175168,4096
5383,1239175168,1239179264,4096
5384,1239179264,1239183360,4096
5385,1239183360,1239187456,4096
5386,1239187456,1239191552,4096
5387,1239191552,1239195648,4096
5388,1239195648,1239199744,4096
5370,1239199744,1239201390,1646
3096,1239201471,1239203840,2369
3102,1239203840,1239207936,4096
3094,1239207936,1239208793,857
