,start,end,duration
1469,1238163456,1238167552,4096
1468,1238167552,1238170289,2737
1464,1238175433,1238175744,311
1470,1238175744,1238179840,4096
1471,1238179840,1238183936,4096
1472,1238183936,1238188032,4096
1473,1238188032,1238192128,4096
1465,1238192128,1238192569,441
1466,1238192714,1238193897,1183
1463,1238197374,1238197471,97
1467,1238197528,1238200188,2660
4031,1238202210,1238204416,2206
4029,1238204416,1238204835,419
4034,1238205073,1238208512,3439
4038,1238208512,1238212608,4096
4039,1238212608,1238216704,4096
4040,1238216704,1238220800,4096
4041,1238220800,1238224896,4096
4037,1238224896,1238228885,3989
4036,1238233224,1238237184,3960
4042,1238237184,1238241280,4096
4043,1238241280,1238245376,4096
4035,1238245376,1238248836,3460
4030,1238264818,1238265856,1038
4044,1238265856,1238269952,4096
4045,1238269952,1238274048,4096
4033,1238274048,1238277350,3302
4032,1238291342,1238294528,3186
4046,1238294528,1238298624,4096
4047,1238298624,1238302720,4096
1385,1238302720,1238306816,4096
1386,1238306816,1238310912,4096
1373,1238310912,1238312534,1622
1383,1238315218,1238319104,3886
1384,1238319104,1238323145,4041
1382,1238323810,1238327296,3486
1378,1238327296,1238330042,2746
1371,1238330177,1238331392,1215
1387,1238331392,1238335488,4096
1370,1238335488,1238336431,943
1380,1238336560,1238339584,3024
1381,1238339584,1238342822,3238
1377,1238343863,1238346382,2519
1376,1238349644,1238351872,2228
1374,1238351872,1238353775,1903
1375,1238353968,1238355968,2000
1369,1238355968,1238356849,881
1367,1238356927,1238356974,47
1379,1238357138,1238360064,2926
1368,1238360064,1238360639,575
1372,1238362764,1238364160,1396
1388,1238364160,1238368256,4096
1389,1238368256,1238372352,4096
1390,1238372352,1238376448,4096
1391,1238376448,1238380544,4096
1392,1238380544,1238384640,4096
1393,1238384640,1238388736,4096
1394,1238388736,1238392832,4096
1395,1238392832,1238396928,4096
1396,1238396928,1238401024,4096
1591,1238401024,1238405120,4096
1592,1238405120,1238409216,4096
1593,1238409216,1238413312,4096
1594,1238413312,1238417408,4096
1595,1238417408,1238421504,4096
1596,1238421504,1238425600,4096
1587,1238425600,1238426681,1081
1586,1238441899,1238441984,85
1597,1238441984,1238446080,4096
1598,1238446080,1238450176,4096
1599,1238450176,1238454272,4096
1600,1238454272,1238458368,4096
1601,1238458368,1238462464,4096
1602,1238462464,1238466560,4096
1603,1238466560,1238470656,4096
1604,1238470656,1238474752,4096
1605,1238474752,1238478848,4096
1606,1238478848,1238482944,4096
1590,1238482944,1238486894,3950
1589,1238489809,1238491136,1327
1588,1238491136,1238492229,1093
761,1238500421,1238503424,3003
