,start,end,duration
11332,1238166000,1238168000,2000
11333,1238168000,1238170000,2000
11334,1238170000,1238172000,2000
11335,1238172000,1238174000,2000
11336,1238174000,1238176000,2000
11337,1238176000,1238178000,2000
11338,1238178000,1238180000,2000
11339,1238180000,1238182000,2000
11340,1238182000,1238184000,2000
11341,1238184000,1238186000,2000
11342,1238186000,1238188000,2000
11343,1238188000,1238190000,2000
11344,1238190000,1238192000,2000
11345,1238192000,1238194000,2000
11346,1238194000,1238196000,2000
11347,1238196000,1238198000,2000
11348,1238198000,1238200000,2000
13550,1238200000,1238202000,2000
13551,1238202000,1238204000,2000
13552,1238204000,1238206000,2000
13553,1238206000,1238208000,2000
13554,1238208000,1238210000,2000
13555,1238210000,1238212000,2000
13556,1238212000,1238214000,2000
13557,1238214000,1238216000,2000
13558,1238216000,1238218000,2000
13559,1238218000,1238220000,2000
13560,1238220000,1238222000,2000
13561,1238222000,1238224000,2000
13562,1238224000,1238226000,2000
13563,1238226000,1238228000,2000
13564,1238228000,1238230000,2000
13565,1238230000,1238232000,2000
13566,1238232000,1238234000,2000
13567,1238234000,1238236000,2000
13568,1238236000,1238238000,2000
13569,1238238000,1238240000,2000
13570,1238240000,1238242000,2000
13571,1238242000,1238244000,2000
13572,1238244000,1238246000,2000
13573,1238246000,1238248000,2000
13574,1238248000,1238250000,2000
13575,1238250000,1238252000,2000
13576,1238252000,1238254000,2000
13577,1238254000,1238256000,2000
13578,1238256000,1238258000,2000
13579,1238258000,1238260000,2000
13580,1238260000,1238262000,2000
13581,1238262000,1238264000,2000
13582,1238264000,1238266000,2000
13583,1238266000,1238268000,2000
13584,1238268000,1238270000,2000
13585,1238270000,1238272000,2000
13586,1238272000,1238274000,2000
13587,1238274000,1238276000,2000
13588,1238276000,1238278000,2000
13589,1238278000,1238280000,2000
13590,1238280000,1238282000,2000
13591,1238282000,1238284000,2000
13592,1238284000,1238286000,2000
13593,1238286000,1238288000,2000
13594,1238288000,1238290000,2000
13595,1238290000,1238292000,2000
13596,1238292000,1238294000,2000
13597,1238294000,1238296000,2000
13598,1238296000,1238298000,2000
13599,1238298000,1238300000,2000
14150,1238300000,1238302000,2000
14151,1238302000,1238304000,2000
14152,1238304000,1238306000,2000
14153,1238306000,1238308000,2000
14154,1238308000,1238310000,2000
14155,1238310000,1238312000,2000
14156,1238312000,1238314000,2000
14157,1238314000,1238316000,2000
14158,1238316000,1238318000,2000
14159,1238318000,1238320000,2000
14160,1238320000,1238322000,2000
14161,1238322000,1238324000,2000
14162,1238324000,1238326000,2000
14163,1238326000,1238328000,2000
14164,1238328000,1238330000,2000
14165,1238330000,1238332000,2000
14166,1238332000,1238334000,2000
14167,1238334000,1238336000,2000
14168,1238336000,1238338000,2000
14169,1238338000,1238340000,2000
14170,1238340000,1238342000,2000
14171,1238342000,1238344000,2000
14172,1238344000,1238346000,2000
14173,1238346000,1238348000,2000
14174,1238348000,1238350000,2000
14175,1238350000,1238352000,2000
14176,1238352000,1238354000,2000
14177,1238354000,1238356000,2000
14178,1238356000,1238358000,2000
14179,1238358000,1238360000,2000
14180,1238360000,1238362000,2000
14181,1238362000,1238364000,2000
14182,1238364000,1238366000,2000
14183,1238366000,1238368000,2000
14184,1238368000,1238370000,2000
14185,1238370000,1238372000,2000
14186,1238372000,1238374000,2000
14187,1238374000,1238376000,2000
14188,1238376000,1238378000,2000
14189,1238378000,1238380000,2000
14190,1238380000,1238382000,2000
14191,1238382000,1238384000,2000
14192,1238384000,1238386000,2000
14193,1238386000,1238388000,2000
14194,1238388000,1238390000,2000
14195,1238390000,1238392000,2000
14196,1238392000,1238394000,2000
14197,1238394000,1238396000,2000
14198,1238396000,1238398000,2000
14199,1238398000,1238400000,2000
10832,1238400000,1238402000,2000
10833,1238402000,1238404000,2000
10834,1238404000,1238406000,2000
10835,1238406000,1238408000,2000
10836,1238408000,1238410000,2000
10837,1238410000,1238412000,2000
10838,1238412000,1238414000,2000
10839,1238414000,1238416000,2000
10840,1238416000,1238418000,2000
10841,1238418000,1238420000,2000
10842,1238420000,1238422000,2000
10843,1238422000,1238424000,2000
10844,1238424000,1238426000,2000
10845,1238426000,1238428000,2000
10846,1238428000,1238430000,2000
10847,1238430000,1238432000,2000
10848,1238432000,1238434000,2000
10849,1238434000,1238436000,2000
10850,1238436000,1238438000,2000
10851,1238438000,1238440000,2000
10852,1238440000,1238442000,2000
10853,1238442000,1238444000,2000
10854,1238444000,1238446000,2000
10855,1238446000,1238448000,2000
10856,1238448000,1238450000,2000
10857,1238450000,1238452000,2000
10858,1238452000,1238454000,2000
10859,1238454000,1238456000,2000
10860,1238456000,1238458000,2000
10861,1238458000,1238460000,2000
10862,1238460000,1238462000,2000
10863,1238462000,1238464000,2000
10864,1238464000,1238466000,2000
10865,1238466000,1238468000,2000
10866,1238468000,1238470000,2000
10867,1238470000,1238472000,2000
10868,1238472000,1238474000,2000
10869,1238474000,1238476000,2000
10870,1238476000,1238478000,2000
10871,1238478000,1238480000,2000
10872,1238480000,1238482000,2000
10873,1238482000,1238484000,2000
10874,1238484000,1238486000,2000
10875,1238486000,1238488000,2000
10876,1238488000,1238490000,2000
10877,1238490000,1238492000,2000
