,dH1s,dL1s,dV1s,dL1s_fix,H,L,V,HL_nV,HV_nL,LV_nH,HLV
0,0.0,3.0,9.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011440892947742263,0.0001137113140537798,0.13383859715880264,0.5618854008117706
1,0.0,6.0,12.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011440892947742263,0.00011355276509386099,0.13381072425164892,0.5618850837138508
2,0.0,9.0,15.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011440892947742263,0.00011345763571790969,0.13378316844241503,0.561884703196347
3,0.0,12.0,18.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011440892947742263,0.00011348934550989345,0.1337556760527651,0.5618842275494673
4,0.0,15.0,21.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011440892947742263,0.00011348934550989345,0.13372840563165905,0.5618837519025875
5,0.0,18.0,24.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011437721968543886,0.0001133625063419584,0.13370129375951295,0.5618833396752917
6,0.0,21.0,27.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011428209030948756,0.00011320395738203958,0.1336742453069508,0.561882959157788
7,0.0,24.0,30.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011421867072552004,0.00011310882800608828,0.1336474822425165,0.5618824835109082
8,0.0,27.0,33.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011421867072552004,0.00011307711821410451,0.13362087772704212,0.5618819444444444
9,0.0,30.0,36.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011421867072552004,0.00011301369863013699,0.13359452688990361,0.5618813736681887
10,0.0,33.0,39.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011421867072552004,0.00011291856925418569,0.13356842973110097,0.561880802891933
11,0.0,36.0,42.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011421867072552004,0.00011288685946220193,0.13354261796042619,0.5618801686960934
12,0.0,39.0,45.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011421867072552004,0.00011288685946220193,0.13351693302891934,0.5618795027904617
13,0.0,42.0,48.0,0.0,0.6737764776763064,0.6959225012683917,0.9888550545408422,0.00011421867072552004,0.00011288685946220193,0.1334912163876205,0.5618788368848301
