,commonName,GPS,pastro
0,GW190511_135545,1241614563.77,1.0
1,GW190614_144749,1244555287.93,1.0
2,GW190607_093827,1243931925.99,0.99
3,GW200208_211609,1265231787.68,0.99
4,GW190705_174632,1246380410.88,0.96
5,GW190424_170208,1240156946.51,0.91
6,GW190629_085648,1245830226.79,0.87
7,GW190503_154609,1240929987.65,0.84
8,GW190809_155440,1249397698.41,0.82
9,GW190607_233923,1243982381.42,0.8
10,GW190520_005107,1242345085.55,0.8
11,GW190427_054847,1240386545.71,0.76
12,GW190416_080520,1239433520.84,0.76
13,GW200203_235815,1264809513.19,0.75
14,GW190810_085214,1249458753.03,0.67
15,GW190405_062027,1238476845.84,0.6
