,commonName,GPS,network_matched_filter_snr,chirp_mass_source,mass_1_source,mass_2_source,pastro
1227,150914_095045,1126259462.4257812,23.84641756907227,27.270775,35.986053,27.371181,1.0
32745,151011_192749,1128626886.6044922,8.33589183615447,40.341534,33.485386,65.56729,0.24
34141,151012_095443,1128678900.4450684,9.574568264323915,18.418438,16.196154,28.05287,1.0
87148,151205_195525,1133380542.4094238,7.657524184438514,69.332115,81.61141,77.72871,0.2
103858,151226_033853,1135136350.649414,12.902843499740559,9.810009,4.163724,37.40002,1.0
141701,170104_101158,1167559936.6000977,13.128932628980387,23.472763,26.636831,27.294216,1.0
154847,170121_212536,1169069154.5761719,10.408941596620831,24.557547,39.966484,20.360205,1.0
168068,170202_135657,1170079035.732666,8.273105132985815,26.008064,27.51642,32.48126,0.86
219596,170304_163753,1172680691.3659668,8.47373466998056,41.821777,46.90803,49.20614,0.74
271176,170403_230611,1175295989.2316895,7.646236866105989,61.090622,60.933754,81.14825,0.72
307927,170425_055334,1177134832.190918,7.917174506195786,47.506344,46.08652,64.997345,0.37
322536,170608_020116,1180922494.4887695,15.342403306465798,8.509651,13.059284,7.4323406,1.0
343269,170623_234223,1182296561.3701172,8.05641238473968,14.106624,18.246908,14.429859,0.23
363782,170704_202003,1183234821.6201172,8.317101771966831,9.98305,9.998886,13.202582,0.43
381150,170727_010430,1185152688.0332031,8.958598814261935,41.821777,46.90803,49.20614,1.0
385921,170729_185629,1185389807.3237305,10.201334324585753,43.82147,39.094944,65.68194,1.0
413267,170809_082821,1186302519.75,12.709502928135949,30.78865,40.074715,31.307121,1.0
424337,170814_103043,1186741861.5336914,16.527146501440612,28.966068,27.809591,40.075542,1.0
432570,170818_022509,1187058327.0837402,10.679790103392339,32.53113,41.297234,33.87965,1.0
447333,170823_131358,1187529256.5163574,11.287954859033546,26.617147,62.826748,16.208044,1.0
462126,190404_142514,1238423132.993164,7.851324463138542,20.43056,22.483957,24.505323,0.5
472097,190408_181802,1238782700.284668,13.853638137458256,18.355392,11.485428,41.86331,1.0
479371,190412_053044,1239082262.1677246,17.064026379587567,17.53789,133.58084,4.581572,1.0
481366,190413_052954,1239168612.4995117,8.531000588814416,40.341534,33.485386,65.56729,1.0
482301,190413_134308,1239198206.7358398,9.564338184491715,54.503036,66.24957,59.203125,1.0
500098,190421_213856,1239917954.2543945,10.194756707511853,44.834133,46.31558,57.3984,1.0
504125,190424_081138,1240128716.762207,7.569516732691857,27.434912,28.367174,35.089993,0.25
504922,190424_180648,1240164426.1411133,9.975001338143414,39.85617,35.66234,59.54399,0.52671385
