,commonName,GPS,network_matched_filter_snr,chirp_mass_source,mass_1_source,mass_2_source,ifar,pastro
822,GW190707_080228,1246523564.947998,8.607022024865826,35.304993507118745,52.0,32.0,23.232876712328764,0.9353395209378722
599,GW190711_030258,1246849694.6340332,6.299694086356632,31.38862417361984,80.0,18.0,11.169205479452055,0.9268756300213746
824,GW190818_230246,1250205962.3308105,8.128505396092283,43.57899191571919,67.0,38.0,3.4152328767123286,0.8096642390542864
0,GW190704_100236,1246272532.6813965,9.697470348954813,4.059090895835598,7.0,3.2,2.846027397260274,0.8099504599564218
600,GW190906_050237,1251783833.5131836,6.874329584746092,25.821520521107576,37.0,24.0,0.7318356164383562,0.6068997440134968
190,GW190821_120223,1250426919.9362793,7.501397804086056,4.75151989816244,7.6,4.0,0.7115068493150685,0.5997815328019933
1000,GW190814_190211,1249845627.5810547,7.736486595811257,49.585933336877545,68.0,48.0,0.6534246575342465,0.6368844632970372
191,GW190910_010221,1252113997.213623,8.4545570413877,7.636966327392708,34.0,2.9,0.6476164383561643,0.5837659726724294
1,GW190920_110218,1253014534.7392578,7.260428093859898,3.777662645442903,6.0,3.2,0.5633972602739725,0.5664291278058593
192,GW190718_160201,1247500937.308838,6.848790797831892,7.152263255321969,10.0,6.8,0.4762739726027396,0.5318604244528328
