,SNR_H1,Chisq_H1,Mass_1_H1,Mass_2_H1,Spin1z_H1,Spin2z_H1,Prob0_H1,Prob1_H1,Prob2_H1,Prob3_H1,Prob4_H1,Prob5_H1,Prob6_H1,Num triggers_H1,Cluster ID_H1,Cluster time_H1,SNR_L1,Chisq_L1,Mass_1_L1,Mass_2_L1,Spin1z_L1,Spin2z_L1,Prob0_L1,Prob1_L1,Prob2_L1,Prob3_L1,Prob4_L1,Prob5_L1,Prob6_L1,Num triggers_L1,Cluster ID_L1,Cluster time_L1,Av num triggers,Av prob0,id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
0,8.203589622372332,1.479193189186604,81.4208727757194,11.072756569034786,-0.175634081425259,-0.06102034064760106,0.9001925999999999,0.099772796,1e-45,3.458221e-05,5.097387599999998e-16,2.2692735e-15,0.0,206.0,64269.0,1257296855.2186565,10.206173372669973,2.2484198181199684,78.18261907851625,10.26254328813532,-0.42623866107497055,-0.04623449039967718,1.0,1.4419476999999994e-20,2.8286990000000004e-39,0.0,1.5005164e-19,0.0,1.7746217000000002e-19,243.0,58156.0,1257296855.218763,224.5,0.9500963,GW191109_010717-v1,GW191109_010717,1,GWTC-3-confident,1257296855.2,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191109_010717/v1,65.0,-11.0,11.0,47.0,-13.0,15.0,17.3,-0.5,0.5,1290.0,-650.0,1130.0,-0.29,-0.31,0.42,112.0,-16.0,20.0,47.5,-7.5,9.6,,,,0.25,-0.12,0.18,0.00018,,,0.99,,,107.0,-15.0,18.0
1,8.073710136004383,1.1777409008364323,53.01694516004533,13.482488000395909,-0.06845937944013518,-0.21668532756160194,1.0,3.904095e-08,1.4776996999999994e-32,2.2602288e-11,0.0,1.1542412e-13,0.0,168.0,9571.0,1241816086.7506106,7.5910430386679115,1.4218624801138142,56.323583311431406,14.318758487814545,-0.2432434515211969,-0.1247611958929696,1.0,3.986608e-14,2.0397000000000003e-41,4.0783e-40,3.7999999999999996e-44,5.317453e-10,2.0181586e-17,241.0,11893.0,1241816086.7503679,204.5,1.0,GW190513_205428-v1,GW190513_205428,1,GWTC-2,1241816086.8,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190513_205428/v1,35.7,-9.2,9.5,18.0,-4.1,7.7,12.28987773592599,,,2060.0,-800.0,880.0,0.11,-0.17,0.28,53.9,-5.9,8.6,21.6,-1.9,3.8,29.5,-2.5,5.6,0.37,-0.13,0.13,1e-05,,,1.0,,,51.6,-5.8,8.2
2,7.898651832167954,1.3678462285580175,77.74844982447337,11.39688584189232,-0.2852632977846409,0.2576798854120179,0.9976834,0.0023166358,0.0,6.151203000000002e-13,3.6467107999999994e-33,3.432220800000001e-23,0.0,151.0,42119.0,1246487219.3369794,7.666927219640066,1.574608789637242,77.91930489814554,10.600669911942038,-0.42291191092910185,0.2739468242688686,1.0,3.2478369e-09,3.5746966e-22,8.088788699999998e-26,2.1365902000000002e-10,0.0,2.3861837000000004e-12,129.0,48011.0,1246487219.3332553,140.0,0.9988417,GW190706_222641-v1,GW190706_222641,1,GWTC-2,1246487219.3,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190706_222641/v1,67.0,-16.2,14.6,38.2,-13.3,14.6,12.653616083950071,,,4420.0,-1930.0,2590.0,0.28,-0.29,0.26,104.1,-13.9,20.2,42.7,-7.0,10.0,75.1,-17.5,11.0,0.71,-0.27,0.32,1e-05,,,1.0,,,99.0,-13.5,18.3
3,7.824814670397881,1.0917935213240155,65.1230866391966,10.393619287012443,-0.6372052731768333,-0.004192372614478362,0.9999622,3.7800397e-05,0.0,3.401503e-14,0.0,1.0472078e-23,0.0,144.0,23496.0,1261020955.123952,7.2073806410989425,1.008235746843006,67.88403997977863,10.145903798844165,-0.6427337190082596,-0.15572714863608447,0.99999845,1.5011624e-06,3.7815432999999994e-33,1.4491198999999998e-27,4.169900400000001e-13,0.0,6.0744894e-16,124.0,25487.0,1261020955.1240954,134.0,0.999980325,GW191222_033537-v1,GW191222_033537,1,GWTC-3-confident,1261020955.1,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191222_033537/v1,45.1,-8.0,10.9,34.7,-10.5,9.3,12.5,-0.3,0.2,3000.0,-1700.0,1700.0,-0.04,-0.25,0.2,79.0,-11.0,16.0,33.8,-5.0,7.1,,,,0.51,-0.26,0.23,1e-05,,,0.99,,,75.5,-9.9,15.3
4,4.8634249446885685,0.7749489680325095,57.28054717048112,13.245410757944875,-0.428581074658596,0.05138000742642882,0.99999905,2.9001736e-19,4e-45,1.0096419e-06,0.0,7.388345e-15,0.0,82.0,46618.0,1242984073.7915626,6.4552431896471285,0.9114577246990836,57.10594879181609,13.223452905730474,-0.4300467103403321,0.042629859992291116,1.0,1.9331031e-22,0.0,5.224076499999998e-38,1.2277910999999999e-35,2.9608500000000003e-40,9.819682e-24,82.0,50942.0,1242984073.7881124,82.0,0.999999525,GW190527_092055-v1,GW190527_092055,1,GWTC-2,1242984073.8,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190527_092055/v1,36.5,-9.0,16.4,22.6,-8.1,10.5,8.867476217742222,,,2490.0,-1240.0,2480.0,0.11,-0.28,0.28,59.1,-9.8,21.3,24.3,-4.2,9.1,34.9,-5.5,21.7,0.44,-0.2,0.34,0.06227035131413351,,,0.988513,,,56.4,-9.3,20.2
5,6.867352142271664,1.1231849161623406,54.531269888950966,9.575781464742038,0.3628799039604458,0.04726559791461234,0.9983804,1.7081495e-05,7.4686867e-31,2.8898427999999996e-10,0.0,0.0016024046,0.0,90.0,30205.0,1251010527.8869855,6.213061110613166,1.2974518600190081,51.476580612382705,9.980497427173935,0.34065311820941896,0.1371185657295388,0.99985564,0.00014439336,7.085543e-33,1.6236941999999999e-22,1.1528753e-21,1.6182214000000002e-15,2.28589e-09,73.0,31922.0,1251010527.886116,81.5,0.99911802,GW190828_065509-v1,GW190828_065509,1,GWTC-2,1251010527.9,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190828_065509/v1,24.1,-7.2,7.0,10.2,-2.1,3.6,11.12790886853085,,,1600.0,-600.0,620.0,0.08,-0.16,0.16,34.4,-4.4,5.4,13.3,-1.0,1.2,17.4,-0.7,0.6,0.3,-0.1,0.1,1e-05,,,1.0,,,33.1,-4.5,5.5
6,9.917180270959001,1.4241585527300906,56.51263523289491,13.126431578961403,-0.2809035841415657,-0.2706531242163127,0.99991155,8.843632e-05,3.3121009999999996e-35,9.247396999999997e-29,0.0,1.4233528000000001e-30,0.0,78.0,30045.0,1251009263.7586608,10.388879254117569,1.6658067048515794,59.03933639385768,14.065809419566055,-0.356396182871332,-0.00039926503788248544,1.0,5.0565145e-31,0.0,0.0,0.0,0.0,4.3066e-40,85.0,31754.0,1251009263.7576199,81.5,0.999955775,GW190828_063405-v1,GW190828_063405,1,GWTC-2,1251009263.8,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190828_063405/v1,32.1,-4.0,5.8,26.2,-4.8,4.6,16.629603122143354,,,2130.0,-930.0,660.0,0.19,-0.16,0.15,58.0,-4.8,7.7,25.0,-2.1,3.4,34.5,-2.8,2.9,0.38,-0.15,0.1,1e-05,,,1.0,,,54.9,-4.3,7.2
7,6.168273520896102,1.640409185700577,90.97451857448135,13.334129219733882,-0.3444858103049553,0.2165344264273987,1.0,1.0175119000000002e-08,1.5640000000000002e-42,2.2721934e-11,2.1347017e-31,1.900373e-18,0.0,60.0,57350.0,1242442967.4552507,9.287967910307463,3.3283916481021265,85.91605918804103,13.581917451455727,-0.3516438804670963,0.21715958096553087,0.99592555,3.0052224e-05,2.4327285e-09,1e-45,0.0036550453,0.0,0.00038941368,90.0,65760.0,1242442967.4484189,75.0,0.997962775,GW190521-v1,GW190521,1,O3_Discovery_Papers,1242442967.4,/o3_eventdata_docs/,https://www.gw-openscience.org/eventapi/json/O3_Discovery_Papers/GW190521/v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.133307231586553,1.092685210223565,57.11351688054707,11.108449327103903,-0.6234677740090413,-0.17625166376075369,0.9999875,1.2523928e-05,5.7730012999999985e-37,4.589931e-20,0.0,9.8968465e-15,0.0,82.0,28920.0,1248242631.986693,7.119205913936371,1.0917293117690172,60.48188785869132,12.593648213042455,-0.6374753059490704,-0.44585357434618944,1.0,4.4044835999999996e-17,0.0,4.1404926e-37,8.274763e-27,2.9246208e-32,1.484508e-17,68.0,40504.0,1248242631.9804375,75.0,0.99999375,GW190727_060333-v2,GW190727_060333,2,GWTC-2.1-confident,1248242631.9,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190727_060333/v2,38.9,-6.0,8.9,30.2,-8.3,6.5,11.7,-0.5,0.2,3070.0,-1230.0,1300.0,0.09,-0.27,0.25,68.8,-7.8,10.2,29.4,-3.7,4.6,,,,0.52,-0.18,0.18,1e-05,,,1.0,,,65.4,-7.3,9.5
9,5.454926135617821,0.9843396376730832,57.32851629769875,11.316437834713836,-0.7807944625934389,-0.3071776522226561,0.9981415,7.357679e-05,5.2092e-41,8.312046999999998e-11,0.0,0.0017848989,6.541819999999998e-40,45.0,28929.0,1266140673.194514,8.029363483994754,1.3035823146879848,59.864864966207676,12.2003887071226,-0.7752840210279246,-0.2837721148547811,1.0,7.610911999999997e-15,0.0,4.3899999999999994e-43,1.315718e-32,0.0,1.4200454999999999e-15,68.0,28790.0,1266140673.194924,56.5,0.99907075,GW200219_094415-v1,GW200219_094415,1,GWTC-3-confident,1266140673.1,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1,37.5,-6.9,10.1,27.9,-8.4,7.4,10.7,-0.5,0.3,3400.0,-1500.0,1700.0,-0.08,-0.29,0.23,65.0,-8.2,12.6,27.6,-3.8,5.6,,,,0.57,-0.22,0.22,0.00099,,,0.99,,,62.2,-7.8,11.7
